name,zipcode
Allapattah Branch,33142
Arcola Lakes,33150
Bay Harbor Islands,33154
California Club,33179
Civic Center,33136
Coconut Grove,33133
Concord,33165
Coral Gables,33134
Coral Reef,33157
Country Walk,33177
Culmer/Overtown,33136
Doral,33166
Edison Center,33150
Fairlawn,33144
Golden Glades,33162
Hialeah Gardens,33018
Hispanic,33135
Homestead,33030
International Mall,33172
Kendale Lakes,33196
Kendall,33176
Key Biscayne,33149
Lakes of the Meadow,33185
Lemon City,33137
Little River,33138
Main Library,33130
Miami Beach Regional,33139
Miami Lakes,33014
Miami Springs,33166
Model City,33142
Naranja,33032
North Central,33147
North Dade Regional,33056
North Shore,33141
Northeast Dade â€“ Aventura,33180
Opa-locka,33054
Palm Springs North,33015
Palmetto Bay,33157
Pinecrest,33156
Shenandoah,33145
South Dade Regional,33189
South Miami,33143
South Shore,33139
Sunny Isles Beach,33160
Sunset,33173
Tamiami,33184
Virrick Park,33133
West Flagler,33134
West Kendall Regional,33196
Westchester Regional,33165